product_id,product_name,category,price
1,Buffalo Style Cauliflower Bites,Food - Frozen Vegetables,5.49
2,Portable Solar Generator,Outdoor,399.99
3,Oven Thermometer,Kitchen,11.99
4,Classic Chicken Noodle Soup,Food - Canned Goods,3.49
5,Children's Science Experiment Lab Kit,Toys,29.99
6,Ice Cream,Food - Frozen Foods,5.99
7,Pepperoni Pizza Rolls,Food - Snacks,6.99
8,Rainbow Veggie Chips,Food - Snacks,3.29
9,Tandoori Chicken Marinade,Food - Condiments,2.49
10,Whole Chicken,Food - Meat,12.99
11,Coconut Almond Granola,Food - Breakfast,4.99
12,Knitted Infinity Scarf,Clothing - Accessories,29.99
13,Halloween Decoration Set,Home,29.99
14,Spicy Tuna Rolls,Food - Seafood,6.49
15,Teriyaki Tofu Stir-Fry,Food - Prepared Meals,7.49
16,Rechargeable Electric Screwdriver,Tools,39.99
17,Wine Decanter,Home,34.99
18,Stuffed Grape Leaves,Food - Prepared Foods,5.79
19,Tandoori Chicken Marinade,Food - Condiments,2.49
20,Puzzle 3D Model Kit,Toys,22.99
21,Non-Toxic Concrete Sealer,Home Improvement,39.99
22,Organic Cucumber,Food - Vegetables,1.29
23,Sweet Potato Noodles,Food - Pasta,3.79
24,Kids' Gardening Kit,Toys,24.99
25,Coconut Flakes,Food - Baking,3.29
26,Memory Foam Mattress Topper,Home,109.99
27,Black Bean Spaghetti,Food - Pasta,3.99
28,Maple Pecan Granola,Food - Breakfast,4.49
29,Vegetable Samosas,Food - Frozen,4.99
30,Set of Decorative Storage Bins,Home,34.99
31,Almond Flour Pancake Mix,Food - Baking,5.99
32,Foldable Yoga Mat,Fitness,29.99
33,Savory Oatmeal,Food - Breakfast,2.49
34,Fresh Cilantro,Food - Produce,1.49
35,Ski Goggles,Sports,49.99
36,Classic Bagels,Food - Bakery,2.99
37,Chocolate Mint Cookies,Food - Baking,2.29
38,Organic Lentil Soup,Food - Soups,4.99
39,Tennis Racket,Fitness,89.99
40,Balsamic Fig Dressing,Food - Condiments,3.79
41,Ceramic Bakeware Set,Kitchen,49.99
42,Chicken Breasts,Food - Meat,9.99
43,Peanut Butter Chocolate Clusters,Food - Desserts,2.99
44,Customizable Name Puzzle,Toys,29.99
45,Balsamic Glaze,Food - Condiments,4.79
46,Sweet Chili Dipping Sauce,Food - Condiments,2.99
47,Smart Water Bottle,Fitness,39.99
48,Cocktail Shaker Set,Kitchen,29.99
49,Chocolate Dipped Fruit,Food - Snacks,5.99
50,Adjustable Standing Desk,Office,299.99
51,Crispy Rice Treats,Food - Snacks,3.5
52,Ricotta Cheese,Food - Dairy,4.99
53,Oats,Food - Grains,3.29
54,Sesame Seeds,Food - Baking,1.99
55,Dish Soap Dispenser,Kitchen,18.99
56,Noise Reduction Headphones,Audio,39.99
57,Indoor Plants,Garden,19.99
58,Carrot and Celery Sticks,Food - Produce,2.99
59,Beef Sirloin Steak,Food - Meat,15.99
60,Microfiber Cleaning Cloths,Home,9.99
61,Mango Chutney,Food - Condiments,3.99
62,Key Finder,Accessories,19.99
63,Elegant Lace Dress,Clothing - Dresses,79.99
64,Almond Flour Pancake Mix,Food - Baking,5.99
65,Antique Style Clock,Home,39.99
66,Coconut Cashew Yogurt,Food - Dairy Alternatives,1.99
67,Jigsaw Puzzle,Toys,14.99
68,Classic Vanilla Fudge,Food - Desserts,4.49
69,Chocolate Hazelnut Spread,Food - Spreads,5.99
70,Multicolored LED Strip Lights,Home,29.99
71,Artisan Cornbread Mix,Food - Baking,2.49
72,Personal Safety Alarm,Safety,12.99
73,Lemon Pepper Seasoning,Food - Seasonings,3.29
74,Pineapple Teriyaki Chicken Mix,Food - Meat,6.99
75,Crispy Onion Rings,Food - Frozen Foods,4.29
76,Classic Vanilla Fudge,Food - Desserts,4.49
77,Garlic Breadsticks,Food - Sides,3.49
78,Multi-Functional Rice Cooker,Kitchen,49.99
79,Electric Rice Cooker,Kitchen,39.99
80,Hibiscus Tea Bags,Food - Beverages,3.79
81,Italian Marinara Sauce,Food - Sauces,3.29
82,Decorative LED Neon Sign,Home,45.99
83,Hummus Trio Pack,Food - Snacks,5.49
84,Portable Electric Fan,Home,24.99
85,Frozen Salmon Filets,Food - Seafood,12.99
86,Self-Adhesive Wallpaper,Home,34.99
87,Bamboo Cotton Tank Top,Clothing - Tops,22.99
88,Almond Joy Munch Bars,Food - Snacks,1.39
89,Chia Seeds,Food - Grains,6.99
90,Herb Garden Planter Box,Garden,49.99
91,Buffalo Cauliflower Wings,Food - Frozen Foods,6.99
92,Green Tea Matcha Powder,Food - Beverages,15.99
93,Car Vacuum,Automotive,49.99
94,Mini Air Purifier,Health,49.99
95,Chino Shorts,Clothing - Bottoms,34.99
96,Almond Milk Yogurt,Food - Dairy Alternatives,1.99
97,Professional Chef Knife,Kitchen,89.99
98,Outdoor Picnic Blanket,Outdoor,34.99
99,Smartphone Projector,Electronics,29.99
100,Shower Curtain Hooks,Home,12.99
